,date,areaType,areaCode,areaName,cumCasesBySpecimenDate,cumDeathsByDeathDate,newCasesBySpecimenDate,newDeathsByDeathDate
0,1/31/20,region,E12000007,London,1,,1,
1,2/1/20,region,E12000007,London,3,,2,
2,2/2/20,region,E12000007,London,3,,0,
3,2/3/20,region,E12000007,London,3,,0,
4,2/4/20,region,E12000007,London,3,,0,
5,2/5/20,region,E12000007,London,3,,0,
6,2/6/20,region,E12000007,London,3,,0,
7,2/7/20,region,E12000007,London,3,,0,
8,2/8/20,region,E12000007,London,3,,0,
9,2/9/20,region,E12000007,London,3,,0,
10,2/10/20,region,E12000007,London,3,,0,
11,2/11/20,region,E12000007,London,4,,1,
12,2/12/20,region,E12000007,London,4,,0,
13,2/13/20,region,E12000007,London,4,,0,
14,2/14/20,region,E12000007,London,4,,0,
15,2/15/20,region,E12000007,London,4,,0,
16,2/16/20,region,E12000007,London,4,,0,
17,2/17/20,region,E12000007,London,4,,0,
18,2/18/20,region,E12000007,London,4,,0,
19,2/19/20,region,E12000007,London,4,,0,
20,2/20/20,region,E12000007,London,4,,0,
21,2/21/20,region,E12000007,London,4,,0,
22,2/22/20,region,E12000007,London,4,,0,
23,2/23/20,region,E12000007,London,4,,0,
24,2/24/20,region,E12000007,London,5,,1,
25,2/25/20,region,E12000007,London,8,,3,
26,2/26/20,region,E12000007,London,10,,2,
27,2/27/20,region,E12000007,London,12,,2,
28,2/28/20,region,E12000007,London,15,,3,
29,2/29/20,region,E12000007,London,16,,1,
30,3/1/20,region,E12000007,London,20,,4,
31,3/2/20,region,E12000007,London,32,,12,
32,3/3/20,region,E12000007,London,38,,6,
33,3/4/20,region,E12000007,London,56,,18,
34,3/5/20,region,E12000007,London,70,,14,
35,3/6/20,region,E12000007,London,94,,24,
36,3/7/20,region,E12000007,London,109,,15,
37,3/8/20,region,E12000007,London,131,,22,
38,3/9/20,region,E12000007,London,183,2,52,2
39,3/10/20,region,E12000007,London,275,3,92,1
40,3/11/20,region,E12000007,London,458,7,183,4
41,3/12/20,region,E12000007,London,622,13,164,6
42,3/13/20,region,E12000007,London,758,19,136,6
43,3/14/20,region,E12000007,London,908,30,150,11
44,3/15/20,region,E12000007,London,1073,39,165,9
45,3/16/20,region,E12000007,London,1307,54,234,15
46,3/17/20,region,E12000007,London,1618,77,311,23
47,3/18/20,region,E12000007,London,1973,103,355,26
48,3/19/20,region,E12000007,London,2305,128,332,25
49,3/20/20,region,E12000007,London,2731,173,426,45
50,3/21/20,region,E12000007,London,3081,220,350,47
51,3/22/20,region,E12000007,London,3519,273,438,53
52,3/23/20,region,E12000007,London,4208,329,689,56
53,3/24/20,region,E12000007,London,4844,417,636,88
54,3/25/20,region,E12000007,London,5604,533,760,116
55,3/26/20,region,E12000007,London,6370,656,766,123
56,3/27/20,region,E12000007,London,7189,782,819,126
57,3/28/20,region,E12000007,London,7766,902,577,120
58,3/29/20,region,E12000007,London,8362,1044,596,142
59,3/30/20,region,E12000007,London,9228,1195,866,151
60,3/31/20,region,E12000007,London,10163,1373,935,178
61,4/1/20,region,E12000007,London,11141,1562,978,189
62,4/2/20,region,E12000007,London,12210,1757,1069,195
63,4/3/20,region,E12000007,London,13192,1947,982,190
64,4/4/20,region,E12000007,London,13958,2172,766,225
65,4/5/20,region,E12000007,London,14590,2368,632,196
66,4/6/20,region,E12000007,London,15449,2563,859,195
67,4/7/20,region,E12000007,London,16400,2786,951,223
68,4/8/20,region,E12000007,London,17274,3017,874,231
69,4/9/20,region,E12000007,London,18075,3215,801,198
70,4/10/20,region,E12000007,London,18693,3390,618,175
71,4/11/20,region,E12000007,London,19214,3556,521,166
72,4/12/20,region,E12000007,London,19715,3726,501,170
73,4/13/20,region,E12000007,London,20315,3896,600,170
74,4/14/20,region,E12000007,London,20910,4040,595,144
75,4/15/20,region,E12000007,London,21569,4186,659,146
76,4/16/20,region,E12000007,London,22144,4328,575,142
77,4/17/20,region,E12000007,London,22724,4438,580,110
78,4/18/20,region,E12000007,London,23124,4557,400,119
79,4/19/20,region,E12000007,London,23519,4674,395,117
80,4/20/20,region,E12000007,London,23953,4774,434,100
81,4/21/20,region,E12000007,London,24418,4878,465,104
82,4/22/20,region,E12000007,London,24819,4992,401,114
83,4/23/20,region,E12000007,London,25340,5079,521,87
84,4/24/20,region,E12000007,London,25717,5165,377,86
85,4/25/20,region,E12000007,London,26050,5230,333,65
86,4/26/20,region,E12000007,London,26360,5297,310,67
87,4/27/20,region,E12000007,London,26779,5356,419,59
88,4/28/20,region,E12000007,London,27090,5425,311,69
89,4/29/20,region,E12000007,London,27519,5481,429,56
90,4/30/20,region,E12000007,London,27942,5531,423,50
91,5/1/20,region,E12000007,London,28297,5580,355,49
92,5/2/20,region,E12000007,London,28545,5645,248,65
93,5/3/20,region,E12000007,London,28712,5695,167,50
94,5/4/20,region,E12000007,London,28959,5745,247,50
95,5/5/20,region,E12000007,London,29175,5787,216,42
96,5/6/20,region,E12000007,London,29444,5834,269,47
97,5/7/20,region,E12000007,London,29716,5879,272,45
98,5/8/20,region,E12000007,London,29923,5918,207,39
99,5/9/20,region,E12000007,London,30051,5951,128,33
100,5/10/20,region,E12000007,London,30176,5986,125,35
101,5/11/20,region,E12000007,London,30336,6025,160,39
102,5/12/20,region,E12000007,London,30529,6054,193,29
103,5/13/20,region,E12000007,London,30733,6076,204,22
104,5/14/20,region,E12000007,London,30891,6105,158,29
105,5/15/20,region,E12000007,London,31023,6131,132,26
106,5/16/20,region,E12000007,London,31097,6151,74,20
107,5/17/20,region,E12000007,London,31176,6173,79,22
108,5/18/20,region,E12000007,London,31288,6195,112,22
109,5/19/20,region,E12000007,London,31418,6221,130,26
110,5/20/20,region,E12000007,London,31562,6251,144,30
111,5/21/20,region,E12000007,London,31720,6273,158,22
112,5/22/20,region,E12000007,London,31803,6289,83,16
113,5/23/20,region,E12000007,London,31868,6305,65,16
114,5/24/20,region,E12000007,London,31917,6314,49,9
115,5/25/20,region,E12000007,London,31974,6332,57,18
116,5/26/20,region,E12000007,London,32039,6352,65,20
117,5/27/20,region,E12000007,London,32124,6370,85,18
118,5/28/20,region,E12000007,London,32199,6384,75,14
119,5/29/20,region,E12000007,London,32254,6398,55,14
120,5/30/20,region,E12000007,London,32293,6416,39,18
121,5/31/20,region,E12000007,London,32331,6431,38,15
122,6/1/20,region,E12000007,London,32381,6448,50,17
123,6/2/20,region,E12000007,London,32430,6463,49,15
124,6/3/20,region,E12000007,London,32509,6478,79,15
125,6/4/20,region,E12000007,London,32566,6495,57,17
126,6/5/20,region,E12000007,London,32611,6501,45,6
127,6/6/20,region,E12000007,London,32657,6505,46,4
128,6/7/20,region,E12000007,London,32702,6519,45,14
129,6/8/20,region,E12000007,London,32758,6532,56,13
130,6/9/20,region,E12000007,London,32829,6545,71,13
131,6/10/20,region,E12000007,London,32881,6556,52,11
132,6/11/20,region,E12000007,London,32928,6567,47,11
133,6/12/20,region,E12000007,London,32982,6581,54,14
134,6/13/20,region,E12000007,London,33021,6587,39,6
135,6/14/20,region,E12000007,London,33052,6597,31,10
136,6/15/20,region,E12000007,London,33093,6603,41,6
137,6/16/20,region,E12000007,London,33140,6608,47,5
138,6/17/20,region,E12000007,London,33182,6613,42,5
139,6/18/20,region,E12000007,London,33229,6620,47,7
140,6/19/20,region,E12000007,London,33267,6632,38,12
141,6/20/20,region,E12000007,London,33296,6641,29,9
142,6/21/20,region,E12000007,London,33323,6646,27,5
143,6/22/20,region,E12000007,London,33374,6655,51,9
144,6/23/20,region,E12000007,London,33424,6664,50,9
145,6/24/20,region,E12000007,London,33470,6672,46,8
146,6/25/20,region,E12000007,London,33527,6684,57,12
147,6/26/20,region,E12000007,London,33575,6693,48,9
148,6/27/20,region,E12000007,London,33607,6698,32,5
149,6/28/20,region,E12000007,London,33629,6702,22,4
150,6/29/20,region,E12000007,London,33687,6709,58,7
151,6/30/20,region,E12000007,London,33739,6715,52,6
152,7/1/20,region,E12000007,London,33781,6727,42,12
153,7/2/20,region,E12000007,London,33821,6732,40,5
154,7/3/20,region,E12000007,London,33859,6742,38,10
155,7/4/20,region,E12000007,London,33891,6747,32,5
156,7/5/20,region,E12000007,London,33942,6761,51,14
157,7/6/20,region,E12000007,London,33996,6767,54,6
158,7/7/20,region,E12000007,London,34057,6772,61,5
159,7/8/20,region,E12000007,London,34114,6780,57,8
160,7/9/20,region,E12000007,London,34168,6786,54,6
161,7/10/20,region,E12000007,London,34209,6791,41,5
162,7/11/20,region,E12000007,London,34229,6800,20,9
163,7/12/20,region,E12000007,London,34267,6806,38,6
164,7/13/20,region,E12000007,London,34352,6814,85,8
165,7/14/20,region,E12000007,London,34414,6819,62,5
166,7/15/20,region,E12000007,London,34490,6823,76,4
167,7/16/20,region,E12000007,London,34560,6827,70,4
168,7/17/20,region,E12000007,London,34608,6836,48,9
169,7/18/20,region,E12000007,London,34656,6839,48,3
170,7/19/20,region,E12000007,London,34697,6846,41,7
171,7/20/20,region,E12000007,London,34794,6849,97,3
172,7/21/20,region,E12000007,London,34876,6853,82,4
173,7/22/20,region,E12000007,London,34955,6861,79,8
174,7/23/20,region,E12000007,London,35025,6869,70,8
175,7/24/20,region,E12000007,London,35108,6870,83,1
176,7/25/20,region,E12000007,London,35164,6877,56,7
177,7/26/20,region,E12000007,London,35229,6879,65,2
178,7/27/20,region,E12000007,London,35328,6884,99,5
179,7/28/20,region,E12000007,London,35428,6889,100,5
180,7/29/20,region,E12000007,London,35527,6893,99,4
181,7/30/20,region,E12000007,London,35629,6896,102,3
182,7/31/20,region,E12000007,London,35702,6903,73,7
183,8/1/20,region,E12000007,London,35760,6911,58,8
184,8/2/20,region,E12000007,London,35836,6915,76,4
