date,total_cases,new_cases,total_deaths,new_deaths
2020-03-02,1,0,0.0,0.0
2020-03-03,2,1,0.0,0.0
2020-03-04,2,0,0.0,0.0
2020-03-05,4,2,0.0,0.0
2020-03-06,5,1,0.0,0.0
2020-03-07,12,7,0.0,0.0
2020-03-08,14,2,0.0,0.0
2020-03-09,20,6,0.0,0.0
2020-03-10,37,17,0.0,0.0
2020-03-11,52,15,0.0,0.0
2020-03-12,96,44,0.0,0.0
2020-03-13,155,59,0.0,0.0
2020-03-14,269,114,1.0,1.0
2020-03-15,330,61,5.0,4.0
2020-03-16,464,134,7.0,2.0
2020-03-17,646,182,11.0,4.0
2020-03-18,1344,698,25.0,14.0
2020-03-19,2477,1133,31.0,6.0
2020-03-20,4419,1942,54.0,23.0
2020-03-21,6226,1807,75.0,21.0
2020-03-22,9065,2839,119.0,44.0
2020-03-23,12329,3264,155.0,36.0
2020-03-24,14943,2614,230.0,75.0
2020-03-25,20061,5118,330.0,100.0
2020-03-26,23182,3121,435.0,105.0
2020-03-27,25509,2327,560.0,125.0
2020-03-28,30919,5410,825.0,265.0
2020-03-29,33983,3064,991.0,166.0
2020-03-30,38375,4392,1202.0,211.0
2020-03-31,43518,5143,1475.0,273.0
2020-04-01,47914,4396,1848.0,373.0
2020-04-02,52400,4486,2152.0,304.0
2020-04-03,57941,5541,2648.0,496.0
2020-04-04,64274,6333,3221.0,573.0
2020-04-05,68726,4452,3646.0,425.0
2020-04-06,73553,4827,4857.0,1211.0
2020-04-07,78498,4945,5631.0,774.0
2020-04-08,83673,5175,6441.0,810.0
2020-04-09,89127,5454,7249.0,808.0
2020-04-10,94702,5575,7981.0,732.0
2020-04-11,100840,6138,8734.0,753.0
2020-04-12,105939,5099,9448.0,714.0
2020-04-13,109706,3767,10096.0,648.0
2020-04-14,113632,3926,10857.0,761.0
2020-04-15,121653,8021,11566.0,709.0
2020-04-16,126623,4970,12109.0,543.0
2020-04-17,131003,4380,12283.0,174.0
2020-04-18,135052,4049,12411.0,128.0
2020-04-19,138370,3318,13632.0,1221.0
2020-04-20,140881,2511,14074.0,442.0
2020-04-21,143547,2666,14513.0,439.0
2020-04-22,146787,3240,14959.0,446.0
2020-04-23,150327,3540,15361.0,402.0
2020-04-24,155081,4754,15754.0,393.0
