,date,new_cases,new_deaths
1,2020-01-22,0,0
2,2020-01-23,0,0
3,2020-01-24,1,0
4,2020-01-25,1,0
5,2020-01-26,2,0
6,2020-01-27,0,0
7,2020-01-28,0,0
8,2020-01-29,0,0
9,2020-01-30,1,0
10,2020-01-31,1,0
11,2020-02-01,1,0
12,2020-02-02,3,0
13,2020-02-03,0,0
14,2020-02-04,0,0
15,2020-02-05,1,0
16,2020-02-06,0,0
17,2020-02-07,0,0
18,2020-02-08,0,0
19,2020-02-09,0,0
20,2020-02-10,1,0
21,2020-02-11,0,0
22,2020-02-12,1,0
23,2020-02-13,1,0
24,2020-02-14,0,0
25,2020-02-15,0,0
26,2020-02-16,0,0
27,2020-02-17,10,0
28,2020-02-18,0,0
29,2020-02-19,0,0
30,2020-02-20,2,0
31,2020-02-21,3,0
32,2020-02-22,0,0
33,2020-02-23,0,0
34,2020-02-24,13,0
35,2020-02-25,2,0
36,2020-02-26,15,0
37,2020-02-27,0,0
38,2020-02-28,5,0
39,2020-02-29,5,1
40,2020-03-01,18,2
41,2020-03-02,16,3
42,2020-03-03,21,4
43,2020-03-04,36,2
44,2020-03-05,67,0
45,2020-03-06,83,3
46,2020-03-07,117,4
47,2020-03-08,119,3
48,2020-03-09,201,4
49,2020-03-10,270,5
50,2020-03-11,245,6
51,2020-03-12,405,6
52,2020-03-13,556,7
53,2020-03-14,674,10
54,2020-03-15,702,8
55,2020-03-16,907,23
56,2020-03-17,1399,26
57,2020-03-18,2444,45
58,2020-03-19,4043,50
59,2020-03-20,5619,65
60,2020-03-21,6516,83
61,2020-03-22,8545,98
62,2020-03-23,10432,121
63,2020-03-24,10433,206
64,2020-03-25,14634,269
65,2020-03-26,16998,299
66,2020-03-27,17330,417
67,2020-03-28,21066,530
68,2020-03-29,18520,418
69,2020-03-30,21469,650
70,2020-03-31,24506,936
71,2020-04-01,26930,1021
72,2020-04-02,29717,1216
73,2020-04-03,32318,1391
74,2020-04-04,35099,1556
75,2020-04-05,25616,1368
76,2020-04-06,30916,1526
77,2020-04-07,30337,2234
78,2020-04-08,31820,2085
79,2020-04-09,34699,2120
80,2020-04-10,33473,2263
81,2020-04-11,31720,2084
82,2020-04-12,27143,1681
83,2020-04-13,25769,1764
84,2020-04-14,26691,2705
85,2020-04-15,30033,2752
86,2020-04-16,31613,2349
87,2020-04-17,31509,2289
88,2020-04-18,28398,1951
89,2020-04-19,25334,1520
90,2020-04-20,27395,1837
91,2020-04-21,25514,2672
92,2020-04-22,28831,2371
93,2020-04-23,33776,2169
94,2020-04-24,36741,2132
95,2020-04-25,34408,1967
96,2020-04-26,26735,1253
97,2020-04-27,23197,1442
98,2020-04-28,24651,2394
99,2020-04-29,26555,2514
100,2020-04-30,30357,2210
101,2020-05-01,33970,1762
102,2020-05-02,29474,1583
103,2020-05-03,26140,1331
104,2020-05-04,21962,1089
105,2020-05-05,23709,2234
106,2020-05-06,24506,2708
107,2020-05-07,28478,1958
108,2020-05-08,27648,1575
109,2020-05-09,24868,1454
110,2020-05-10,20317,932
111,2020-05-11,17621,982
112,2020-05-12,22300,1652
113,2020-05-13,21145,1768
114,2020-05-14,26962,1738
115,2020-05-15,26237,1593
116,2020-05-16,23659,1225
117,2020-05-17,19014,844
118,2020-05-18,21827,846
119,2020-05-19,20977,1520
120,2020-05-20,23070,1477
121,2020-05-21,25733,1311
122,2020-05-22,23799,1288
123,2020-05-23,22268,1050
124,2020-05-24,20031,620
125,2020-05-25,19100,510
126,2020-05-26,18896,747
127,2020-05-27,18744,1485
128,2020-05-28,22512,1200
129,2020-05-29,24548,1190
130,2020-05-30,23397,963
131,2020-05-31,20634,604
132,2020-06-01,21897,734
133,2020-06-02,20791,1082
134,2020-06-03,19987,989
135,2020-06-04,21616,1008
136,2020-06-05,28709,1112
137,2020-06-06,22516,728
138,2020-06-07,18616,390
139,2020-06-08,18207,722
140,2020-06-09,18805,1030
141,2020-06-10,22852,929
142,2020-06-11,23202,877
143,2020-06-12,25493,779
144,2020-06-13,25334,692
145,2020-06-14,19130,317
146,2020-06-15,20117,448
147,2020-06-16,24885,769
148,2020-06-17,25655,761
149,2020-06-18,28059,727
150,2020-06-19,30836,698
151,2020-06-20,32025,546
152,2020-06-21,26379,257
153,2020-06-22,30466,360
154,2020-06-23,35060,833
155,2020-06-24,36989,767
156,2020-06-25,41173,2466
157,2020-06-26,45528,633
158,2020-06-27,42299,511
159,2020-06-28,39508,271
160,2020-06-29,39496,347
161,2020-06-30,48389,1300
162,2020-07-01,49975,642
163,2020-07-02,55559,723
164,2020-07-03,57154,591
165,2020-07-04,50006,261
166,2020-07-05,44767,262
167,2020-07-06,47316,391
168,2020-07-07,54084,958
169,2020-07-08,59455,948
170,2020-07-09,59889,841
171,2020-07-10,68227,828
172,2020-07-11,60721,675
173,2020-07-12,57805,395
174,2020-07-13,61567,425
175,2020-07-14,65602,954
176,2020-07-15,68342,971
177,2020-07-16,75687,958
178,2020-07-17,70923,901
179,2020-07-18,62451,775
180,2020-07-19,62275,412
181,2020-07-20,59888,531
182,2020-07-21,65277,1127
183,2020-07-22,69739,1136
184,2020-07-23,70006,1116
185,2020-07-24,73525,1146
186,2020-07-25,66776,884
187,2020-07-26,54217,440
188,2020-07-27,59181,1696
189,2020-07-28,63116,1327
190,2020-07-29,66616,1396
191,2020-07-30,69114,1261
192,2020-07-31,69088,1429
193,2020-08-01,56828,1055
194,2020-08-02,50794,420
195,2020-08-03,47484,608
196,2020-08-04,53549,1356
197,2020-08-05,53723,1253
198,2020-08-06,57514,1071
199,2020-08-07,61157,1356
200,2020-08-08,55240,966
201,2020-08-09,48480,539
202,2020-08-10,47173,537
203,2020-08-11,53357,1451
204,2020-08-12,54278,1478
205,2020-08-13,54061,1213
206,2020-08-14,59477,1176
207,2020-08-15,50743,1059
208,2020-08-16,42137,514
209,2020-08-17,37523,535
210,2020-08-18,43233,1349
211,2020-08-19,43013,1295
212,2020-08-20,46029,1043
213,2020-08-21,49029,1161
214,2020-08-22,45026,950
215,2020-08-23,32333,446
216,2020-08-24,40404,504
217,2020-08-25,39183,1213
218,2020-08-26,45319,1193
219,2020-08-27,45610,1126
220,2020-08-28,46564,1010
221,2020-08-29,44610,871
222,2020-08-30,33430,374
223,2020-08-31,36485,488
224,2020-09-01,44049,1091
225,2020-09-02,32444,1076
226,2020-09-03,46394,1078
227,2020-09-04,52104,980
228,2020-09-05,42254,712
229,2020-09-06,29999,411
